"customer_id","store_code","department_name","qty","value"
41,"1","CUISINE DE FRANCE/I","4","1.56"
41,"1","DELICATESSEN","4","3.58"
41,"1","FROZEN","2","2.78"
41,"1","FRUIT & VEGETABLES","6","13.74"
41,"1","MEAT & POULTRY","18","50.92"
41,"1","PROVISIONS DAIRY","4","4.66"
41,"1","PROVISIONS PREPARED","2","3.10"
42,"1","GROCERY 2","7","9.99"
42,"1","GROCERY 3","2","2.98"
42,"1","MEAT & POULTRY","3","4.47"
42,"1","STORE EXPENSES","1","0.84"
64,"1","ELECTRICAL","2","136.16"
64,"1","GROCERY 3","2","3.40"
64,"1","NEWSPAPERS & MAGAZI","1","0.70"
68,"3","GROCERY 1","1","2.09"
68,"3","MEAT & POULTRY","2","5.00"
68,"3","PROVISIONS DAIRY","1","0.85"
68,"3","SOFT BEVERAGES","1","0.81"
71,"2","BEVERAGES","1","7.65"
71,"2","DELICATESSEN","3","0.57"
73,"0","FROZEN","1","4.99"
73,"0","FRUIT & VEGETABLES","8","8.39"
73,"0","GROCERY 1","30","10.21"
73,"0","MEAT & POULTRY","4","13.37"
73,"0","NEWSPAPERS & MAGAZI","3","1.90"
73,"0","PROVISIONS DAIRY","4","6.15"
75,"2","CIGARETTES & TOBACC","1","4.43"
75,"2","FRUIT & VEGETABLES","2","1.59"
75,"2","GROCERY 1","1","1.52"
75,"2","MEAT & POULTRY","3","5.25"
75,"2","NATIONAL LOTTERY","1","2.00"
75,"2","PROVISIONS DAIRY","6","2.73"
75,"2","PROVISIONS PREPARED","2","1.49"
75,"2","SOFT BEVERAGES","4","2.44"
83,"2","BAKERY","3","2.60"
83,"2","CIGARETTES & TOBACC","5","21.95"
83,"2","GROCERY 1","8","10.73"
83,"2","GROCERY 2","6","4.73"
83,"2","GROCERY 3","5","3.64"
83,"2","MEAT & POULTRY","1","0.97"
83,"2","NEWSPAPERS & MAGAZI","1","0.85"
83,"2","PROVISIONS DAIRY","4","3.04"
83,"2","SOFT BEVERAGES","1","1.17"
85,"0","BEVERAGES","2","4.68"
85,"0","CONCESSION BAKERY","1","1.04"
88,"1","BEVERAGES","4","23.80"
88,"1","GROCERY 3","1","0.32"
91,"2","CUISINE DE FRANCE/I","1","0.89"
91,"2","GROCERY 2","2","1.40"
91,"2","MEAT & POULTRY","4","8.77"
91,"2","PROVISIONS PREPARED","3","4.47"
97,"0","BAKERY","2","2.16"
97,"0","PROVISIONS DAIRY","4","1.71"
97,"0","SOFT BEVERAGES","2","1.20"
114,"3","BAKERY","1","0.65"
114,"3","CUISINE DE FRANCE/I","5","1.99"
114,"3","DELICATESSEN","3","3.53"
114,"3","GROCERY 1","1","1.44"
114,"3","GROCERY 2","1","0.49"
114,"3","GROCERY 3","1","1.19"
114,"3","PROVISIONS DAIRY","7","2.59"
114,"3","PROVISIONS PREPARED","1","2.09"
123,"1","BAKERY","1","1.00"
123,"1","BEVERAGES","1","6.80"
123,"1","FROZEN","4","5.73"
123,"1","FRUIT & VEGETABLES","1","0.55"
123,"1","GROCERY 1","1","2.12"
123,"1","GROCERY 3","5","3.17"
123,"1","MEAT & POULTRY","1","1.09"
123,"1","NEWSPAPERS & MAGAZI","3","2.85"
123,"1","PROVISIONS DAIRY","2","0.74"
125,"2","BAKERY","2","2.46"
125,"2","FRUIT & VEGETABLES","1","1.19"
125,"2","GROCERY 2","1","0.49"
125,"2","GROCERY 3","3","2.53"
125,"2","PROVISIONS DAIRY","2","0.80"
125,"2","SOFT BEVERAGES","2","2.55"
125,"3","BAKERY","1","1.19"
125,"3","GROCERY 3","2","2.62"
125,"3","NEWSPAPERS & MAGAZI","1","0.78"
125,"3","PROVISIONS DAIRY","5","3.39"
151,"1","BAKERY","2","2.68"
151,"1","MEAT & POULTRY","2","4.28"
151,"1","PROVISIONS PREPARED","5","6.47"
151,"1","SOFT BEVERAGES","1","4.25"
160,"2","BEVERAGES","2","4.25"
160,"2","SOFT BEVERAGES","1","0.77"
164,"1","CIGARETTES & TOBACC","1","2.14"
164,"1","CUISINE DE FRANCE/I","2","1.18"
164,"1","FROZEN","1","1.95"
164,"1","FRUIT & VEGETABLES","1","0.75"
164,"1","GROCERY 1","2","2.36"
164,"1","GROCERY 2","5","3.35"
164,"1","PROVISIONS DAIRY","2","0.84"
164,"1","SOFT BEVERAGES","1","1.27"
180,"0","BAKERY","3","3.12"
180,"0","CIGARETTES & TOBACC","1","0.20"
180,"0","CUISINE DE FRANCE/I","1","1.18"
180,"0","FROZEN","3","3.11"
180,"0","FRUIT & VEGETABLES","10","10.38"
180,"0","GROCERY 1","1","0.74"
180,"0","GROCERY 2","4","4.85"
180,"0","GROCERY 3","11","14.26"
180,"0","MEAT & POULTRY","1","2.24"
180,"0","NEWSPAPERS & MAGAZI","2","0.80"
180,"0","PROVISIONS DAIRY","25","27.27"
180,"0","SOFT BEVERAGES","4","5.06"
183,"1","BAKERY","2","2.03"
183,"1","DELICATESSEN","2","0.87"
183,"1","FRUIT & VEGETABLES","3","1.26"
183,"1","GROCERY 2","2","0.68"
183,"1","GROCERY 3","1","2.89"
183,"1","MEAT & POULTRY","1","1.19"
183,"1","PROVISIONS DAIRY","1","1.09"
183,"1","PROVISIONS PREPARED","2","3.00"
187,"1","BAKERY","1","0.87"
187,"1","CIGARETTES & TOBACC","2","7.64"
187,"1","FROZEN","1","2.99"
187,"1","PROVISIONS DAIRY","1","0.85"
187,"1","PROVISIONS PREPARED","3","2.67"
194,"1","BAKERY","2","1.64"
194,"1","DELICATESSEN","1","0.90"
194,"1","FRUIT & VEGETABLES","3","1.97"
194,"1","GROCERY 3","2","0.66"
194,"1","MEAT & POULTRY","1","2.89"
194,"1","NEWSPAPERS & MAGAZI","3","4.09"
194,"1","PROVISIONS DAIRY","2","1.36"
203,"1","FROZEN","4","3.82"
203,"1","FRUIT & VEGETABLES","3","2.52"
203,"1","GROCERY 1","5","7.18"
203,"1","GROCERY 2","3","5.17"
203,"1","GROCERY 3","1","1.89"
203,"1","PROVISIONS DAIRY","3","1.93"
205,"2","BEVERAGES","4","15.29"
205,"2","CIGARETTES & TOBACC","1","2.41"
205,"2","FRUIT & VEGETABLES","1","0.49"
205,"2","GROCERY 1","1","1.10"
205,"2","GROCERY 3","5","1.39"
205,"2","NEWSPAPERS & MAGAZI","1","0.60"
213,"0","CIGARETTES & TOBACC","4","18.52"
213,"0","DELICATESSEN","1","1.80"
213,"0","GROCERY 3","2","0.61"
213,"0","NEWSPAPERS & MAGAZI","1","0.42"
213,"0","PROVISIONS PREPARED","4","7.00"
214,"1","BEVERAGES","3","3.40"
214,"1","CUISINE DE FRANCE/I","1","0.99"
214,"1","FROZEN","1","1.25"
214,"1","GROCERY 1","5","0.98"
214,"1","MEAT & POULTRY","1","2.23"
214,"1","PROVISIONS DAIRY","3","2.98"
218,"1","BAKERY","3","4.05"
218,"1","FRUIT & VEGETABLES","3","3.47"
218,"1","GROCERY 1","2","2.58"
218,"1","GROCERY 2","6","2.00"
218,"1","NEWSPAPERS & MAGAZI","3","1.27"
218,"1","PROVISIONS DAIRY","1","1.82"
218,"1","PROVISIONS PREPARED","1","1.99"
218,"1","SOFT BEVERAGES","2","1.09"
221,"1","BAKERY","4","3.00"
221,"1","CUISINE DE FRANCE/I","1","0.89"
221,"1","DELICATESSEN","2","6.76"
221,"1","FROZEN","5","7.83"
221,"1","FRUIT & VEGETABLES","7","11.89"
221,"1","GROCERY 1","23","42.25"
221,"1","GROCERY 2","18","21.24"
221,"1","GROCERY 3","9","12.83"
221,"1","MEAT & POULTRY","2","15.28"
221,"1","PROVISIONS DAIRY","8","13.56"
221,"1","PROVISIONS PREPARED","4","9.08"
224,"2","BAKERY","2","1.96"
224,"2","FRUIT & VEGETABLES","1","0.89"
224,"2","GROCERY 1","10","9.46"
224,"2","GROCERY 2","7","6.18"
224,"2","GROCERY 3","8","4.75"
224,"2","NEWSPAPERS & MAGAZI","3","2.22"
224,"2","PROVISIONS DAIRY","3","2.09"
224,"2","SEASONAL","1","0.84"
224,"2","SOFT BEVERAGES","4","2.31"
232,"1","BEVERAGES","3","12.75"
232,"1","CUISINE DE FRANCE/I","1","0.65"
232,"1","FRUIT & VEGETABLES","3","1.24"
232,"1","GROCERY 2","2","2.32"
232,"1","GROCERY 3","1","0.43"
232,"1","NEWSPAPERS & MAGAZI","1","0.70"
232,"1","PROVISIONS DAIRY","2","1.86"
234,"1","BEVERAGES","1","3.40"
234,"1","GROCERY 1","1","8.99"
234,"1","GROCERY 2","2","2.58"
234,"1","GROCERY 3","1","0.44"
234,"1","PROVISIONS PREPARED","2","3.94"
242,"2","BAKERY","1","1.03"
242,"2","CUISINE DE FRANCE/I","2","1.78"
242,"2","FROZEN","3","3.57"
242,"2","GROCERY 3","16","8.32"
242,"2","MEAT & POULTRY","1","2.45"
242,"2","NEWSPAPERS & MAGAZI","5","2.93"
242,"2","PROVISIONS DAIRY","3","2.44"
242,"2","SOFT BEVERAGES","7","8.00"
259,"2","BAKERY","1","0.71"
259,"2","FRUIT & VEGETABLES","2","2.78"
259,"2","GROCERY 2","6","3.98"
259,"2","GROCERY 3","10","10.89"
259,"2","MEAT & POULTRY","2","9.98"
259,"2","NEWSPAPERS & MAGAZI","1","0.35"
259,"2","PROVISIONS DAIRY","11","9.58"
259,"2","PROVISIONS PREPARED","7","6.86"
266,"2","GROCERY 3","4","1.26"
266,"2","PAYPOINT","1","20.00"
269,"1","BAKERY","6","4.16"
269,"1","FRUIT & VEGETABLES","1","0.89"
269,"1","GROCERY 1","4","3.89"
269,"1","GROCERY 3","1","0.82"
269,"1","PROVISIONS DAIRY","6","7.43"
269,"1","SEASONAL","1","1.83"
286,"1","BAKERY","1","0.99"
286,"1","FROZEN","5","7.84"
286,"1","FRUIT & VEGETABLES","14","17.27"
286,"1","GROCERY 1","10","12.79"
286,"1","GROCERY 2","13","11.52"
286,"1","GROCERY 3","6","6.35"
286,"1","MEAT & POULTRY","4","10.95"
286,"1","PROVISIONS DAIRY","8","9.48"
286,"1","SOFT BEVERAGES","4","4.45"
290,"2","CIGARETTES & TOBACC","3","13.23"
305,"1","DELICATESSEN","1","1.07"
305,"1","FRUIT & VEGETABLES","2","2.78"
305,"1","GROCERY 2","2","1.14"
313,"1","BEVERAGES","3","23.30"
313,"1","CIGARETTES & TOBACC","1","4.64"
313,"1","GROCERY 1","3","2.15"
313,"1","GROCERY 3","5","3.26"
313,"1","SOFT BEVERAGES","3","1.56"
315,"1","BEVERAGES","1","2.55"
315,"1","GROCERY 3","1","0.34"
315,"1","NATIONAL LOTTERY","1","13.00"
315,"1","NEWSPAPERS & MAGAZI","1","0.38"
315,"1","PROVISIONS DAIRY","1","0.66"
315,"1","PROVISIONS PREPARED","2","3.00"
317,"1","BAKERY","5","4.02"
317,"1","BEVERAGES","1","11.74"
317,"1","FROZEN","1","1.27"
317,"1","FRUIT & VEGETABLES","3","1.69"
317,"1","GROCERY 1","2","1.99"
317,"1","GROCERY 2","14","16.75"
317,"1","GROCERY 3","7","6.67"
317,"1","PROVISIONS DAIRY","1","1.63"
317,"1","SOFT BEVERAGES","2","0.66"
325,"0","DELICATESSEN","1","2.10"
325,"0","NEWSPAPERS & MAGAZI","2","1.25"
325,"0","PROVISIONS DAIRY","1","0.68"
325,"0","SOFT BEVERAGES","1","0.84"
333,"1","BAKERY","2","1.84"
333,"1","FRUIT & VEGETABLES","2","1.05"
333,"1","GROCERY 1","1","2.94"
333,"1","GROCERY 3","3","2.30"
333,"1","PAYPOINT","1","10.00"
334,"2","DELICATESSEN","2","2.40"
334,"2","FRUIT & VEGETABLES","3","1.00"
334,"2","GROCERY 1","2","6.46"
334,"2","GROCERY 2","5","3.13"
334,"2","GROCERY 3","4","2.90"
334,"2","NEWSPAPERS & MAGAZI","5","2.40"
334,"2","PROVISIONS DAIRY","2","2.19"
334,"2","SOFT BEVERAGES","1","0.43"
338,"2","BAKERY","6","3.94"
338,"2","FRUIT & VEGETABLES","5","4.37"
338,"2","GROCERY 1","1","1.44"
338,"2","GROCERY 2","1","0.70"
338,"2","GROCERY 3","6","6.73"
338,"2","MEAT & POULTRY","1","2.99"
338,"2","NEWSPAPERS & MAGAZI","7","4.85"
338,"2","PROVISIONS DAIRY","8","4.62"
338,"2","PROVISIONS PREPARED","4","3.98"
338,"2","SOFT BEVERAGES","8","7.94"
339,"1","BAKERY","5","4.98"
339,"1","CUISINE DE FRANCE/I","1","0.99"
339,"1","FROZEN","8","13.90"
339,"1","FRUIT & VEGETABLES","1","1.25"
339,"1","GROCERY 1","8","8.63"
339,"1","GROCERY 2","3","4.11"
339,"1","GROCERY 3","6","3.79"
339,"1","MEAT & POULTRY","2","7.32"
339,"1","NEWSPAPERS & MAGAZI","1","0.90"
339,"1","PETROL","5","147.56"
339,"1","PROVISIONS DAIRY","4","3.33"
339,"1","PROVISIONS PREPARED","1","0.92"
339,"1","SOFT BEVERAGES","1","0.55"
340,"3","CUISINE DE FRANCE/I","1","0.59"
340,"3","FRUIT & VEGETABLES","5","3.87"
340,"3","MEAT & POULTRY","1","1.00"
340,"3","NEWSPAPERS & MAGAZI","1","0.45"
340,"3","PROVISIONS DAIRY","1","1.19"
344,"2","CUISINE DE FRANCE/I","1","0.89"
344,"2","FROZEN","1","2.79"
344,"2","GROCERY 2","1","1.09"
344,"2","GROCERY 3","1","0.41"
344,"2","PROVISIONS DAIRY","2","2.84"
348,"2","CONCESSION BAKERY","1","0.58"
348,"2","MEAT & POULTRY","1","2.36"
348,"2","PAYPOINT","1","15.00"
348,"2","PROVISIONS DAIRY","2","1.86"
348,"2","PROVISIONS PREPARED","1","2.45"
366,"3","BAKERY","2","1.31"
366,"3","DELICATESSEN","2","2.30"
366,"3","FROZEN","2","1.88"
366,"3","FRUIT & VEGETABLES","1","0.39"
366,"3","GROCERY 1","2","1.56"
366,"3","GROCERY 3","1","0.29"
366,"3","NEWSPAPERS & MAGAZI","2","1.10"
374,"2","BAKERY","2","2.02"
374,"2","GROCERY 1","4","6.44"
374,"2","GROCERY 2","4","5.56"
374,"2","MEAT & POULTRY","2","3.96"
375,"3","MEAT & POULTRY","1","2.12"
376,"1","BAKERY","10","4.65"
376,"1","CIGARETTES & TOBACC","10","44.69"
376,"1","FROZEN","1","1.69"
376,"1","FRUIT & VEGETABLES","5","3.78"
376,"1","GROCERY 1","2","1.78"
376,"1","GROCERY 2","1","0.67"
376,"1","MEAT & POULTRY","1","2.70"
376,"1","NEWSPAPERS & MAGAZI","2","0.70"
376,"1","PROVISIONS DAIRY","5","4.64"
376,"1","SOFT BEVERAGES","2","2.41"
382,"1","BAKERY","4","2.20"
382,"1","BEVERAGES","9","42.51"
382,"1","FRUIT & VEGETABLES","3","3.48"
382,"1","GROCERY 1","11","12.51"
382,"1","GROCERY 2","17","16.99"
382,"1","GROCERY 3","3","6.86"
382,"1","MEAT & POULTRY","6","13.03"
382,"1","NEWSPAPERS & MAGAZI","4","2.96"
382,"1","PROVISIONS DAIRY","35","10.89"
388,"2","BAKERY","1","0.59"
388,"2","BEVERAGES","6","18.70"
388,"2","CUISINE DE FRANCE/I","5","0.99"
388,"2","DELICATESSEN","2","1.05"
388,"2","GROCERY 1","1","0.84"
388,"2","GROCERY 2","2","2.18"
388,"2","GROCERY 3","1","0.30"
388,"2","MEAT & POULTRY","5","4.05"
388,"2","NEWSPAPERS & MAGAZI","1","0.43"
388,"2","SOFT BEVERAGES","1","0.38"
401,"1","BAKERY","2","1.36"
401,"1","FROZEN","2","1.52"
401,"1","GROCERY 1","1","0.72"
401,"1","GROCERY 2","4","5.58"
401,"1","NEWSPAPERS & MAGAZI","3","4.45"
401,"1","PAYPOINT","1","20.00"
401,"1","PROVISIONS DAIRY","3","2.91"
410,"3","BAKERY","1","1.12"
410,"3","CUISINE DE FRANCE/I","6","2.02"
410,"3","GROCERY 1","1","1.27"
410,"3","GROCERY 2","1","1.35"
410,"3","NATIONAL LOTTERY","4","4.00"
410,"3","NEWSPAPERS & MAGAZI","13","4.69"
413,"1","BAKERY","1","0.55"
413,"1","DELICATESSEN","1","1.50"
413,"1","FRUIT & VEGETABLES","1","1.45"
413,"1","GROCERY 1","2","6.44"
413,"1","GROCERY 3","3","0.59"
413,"1","NEWSPAPERS & MAGAZI","1","0.55"
413,"1","PROVISIONS DAIRY","1","1.19"
419,"1","BAKERY","1","0.72"
419,"1","FRUIT & VEGETABLES","3","1.99"
419,"1","GROCERY 1","2","3.30"
419,"1","GROCERY 2","3","3.13"
419,"1","GROCERY 3","2","0.66"
419,"1","NEWSPAPERS & MAGAZI","1","0.35"
419,"1","PROVISIONS DAIRY","2","1.86"
419,"1","PROVISIONS PREPARED","1","1.65"
426,"2","CIGARETTES & TOBACC","2","8.72"
426,"2","NATIONAL LOTTERY","6","6.00"
431,"1","BEVERAGES","3","7.23"
431,"1","NATIONAL LOTTERY","1","2.00"
431,"1","NEWSPAPERS & MAGAZI","2","0.55"
437,"2","BAKERY","2","2.31"
437,"2","FRUIT & VEGETABLES","1","3.40"
437,"2","GROCERY 3","2","3.62"
437,"2","PROVISIONS DAIRY","1","1.42"
440,"1","BAKERY","24","24.25"
440,"1","BEVERAGES","2","14.88"
440,"1","FROZEN","18","40.83"
440,"1","FRUIT & VEGETABLES","30","34.47"
440,"1","GROCERY 1","3","3.60"
440,"1","GROCERY 2","9","4.97"
440,"1","GROCERY 3","14","12.24"
440,"1","GROCERY NONFOOD","1","3.40"
440,"1","MEAT & POULTRY","19","36.97"
440,"1","NEWSPAPERS & MAGAZI","1","0.76"
440,"1","PROVISIONS DAIRY","15","14.16"
440,"1","PROVISIONS PREPARED","18","41.84"
440,"1","SOFT BEVERAGES","4","5.60"
440,"1","SOFT FURNISHINGS","5","21.24"
442,"0","BEVERAGES","1","1.78"
442,"0","DELICATESSEN","2","0.98"
442,"0","FROZEN","1","0.99"
442,"0","FRUIT & VEGETABLES","4","2.56"
442,"0","GROCERY 2","5","2.11"
442,"0","GROCERY 3","3","1.17"
442,"0","MEAT & POULTRY","1","2.09"
442,"0","PROVISIONS DAIRY","1","0.37"
442,"0","SOFT BEVERAGES","1","1.01"
443,"2","ELECTRICAL","1","11.06"
446,"2","BAKERY","5","4.43"
446,"2","BEVERAGES","9","28.07"
446,"2","CIGARETTES & TOBACC","4","5.17"
446,"2","DELICATESSEN","1","2.99"
446,"2","FROZEN","3","6.67"
446,"2","FRUIT & VEGETABLES","2","2.71"
446,"2","GROCERY 1","6","6.37"
446,"2","GROCERY 2","5","2.86"
446,"2","GROCERY 3","20","13.00"
446,"2","NATIONAL LOTTERY","1","1.00"
446,"2","NEWSPAPERS & MAGAZI","2","1.20"
446,"2","PAYPOINT","2","20.00"
446,"2","PROVISIONS DAIRY","8","9.35"
446,"2","PROVISIONS PREPARED","2","2.11"
446,"2","SEASONAL","1","3.36"
446,"2","SOFT BEVERAGES","2","0.88"
447,"2","BAKERY","4","4.18"
447,"2","DELICATESSEN","1","1.15"
447,"2","FRUIT & VEGETABLES","20","18.36"
447,"2","GROCERY 1","2","1.93"
447,"2","GROCERY 2","14","9.21"
447,"2","GROCERY 3","11","11.38"
447,"2","MEAT & POULTRY","2","3.58"
447,"2","NEWSPAPERS & MAGAZI","2","0.88"
447,"2","PROVISIONS DAIRY","11","11.96"
447,"2","PROVISIONS PREPARED","9","10.29"
459,"0","CUISINE DE FRANCE/I","1","1.19"
459,"0","FRUIT & VEGETABLES","4","3.40"
459,"0","GROCERY 3","2","0.84"
493,"1","BAKERY","2","2.18"
493,"1","BEVERAGES","1","1.35"
493,"1","CIGARETTES & TOBACC","1","2.18"
493,"1","CUISINE DE FRANCE/I","1","0.89"
493,"1","FRUIT & VEGETABLES","4","4.11"
493,"1","GROCERY 2","3","3.54"
493,"1","GROCERY 3","3","5.31"
493,"1","GROCERY NONFOOD","3","3.81"
493,"1","NEWSPAPERS & MAGAZI","2","2.25"
493,"1","PROVISIONS DAIRY","4","7.08"
493,"1","PROVISIONS PREPARED","2","3.34"
493,"1","SOFT BEVERAGES","4","6.28"
495,"0","CIGARETTES & TOBACC","1","2.42"
495,"0","FRUIT & VEGETABLES","3","1.38"
495,"0","GROCERY 1","1","1.44"
495,"0","GROCERY 2","3","2.10"
495,"0","PROVISIONS DAIRY","2","1.60"
495,"0","SOFT BEVERAGES","4","4.79"
496,"0","FRUIT & VEGETABLES","5","5.46"
496,"0","GROCERY 2","1","0.57"
496,"0","GROCERY 3","2","0.62"
496,"0","MEAT & POULTRY","2","5.18"
496,"0","NEWSPAPERS & MAGAZI","1","0.40"
496,"0","PROVISIONS DAIRY","1","0.89"
496,"0","PROVISIONS PREPARED","1","0.79"
505,"0","BAKERY","1","1.09"
505,"0","FROZEN","2","2.55"
505,"0","GROCERY 1","5","4.92"
505,"0","GROCERY 2","5","6.26"
505,"0","GROCERY 3","9","3.49"
505,"0","NEWSPAPERS & MAGAZI","1","0.15"
505,"0","PROVISIONS DAIRY","3","2.69"
505,"0","PROVISIONS PREPARED","2","3.84"
505,"0","SOFT BEVERAGES","4","1.31"
521,"0","GROCERY 1","2","5.35"
521,"0","PROVISIONS DAIRY","2","1.36"
521,"0","PROVISIONS PREPARED","2","1.55"
521,"0","SOFT BEVERAGES","1","2.12"
531,"3","CUISINE DE FRANCE/I","1","0.99"
531,"3","DELICATESSEN","1","1.78"
531,"3","NEWSPAPERS & MAGAZI","1","0.33"
531,"3","PROVISIONS DAIRY","2","1.87"
538,"1","BAKERY","3","1.44"
538,"1","FRUIT & VEGETABLES","1","0.51"
538,"1","NEWSPAPERS & MAGAZI","4","3.20"
538,"1","PROVISIONS DAIRY","1","0.53"
539,"2","BAKERY","1","0.70"
539,"2","CUISINE DE FRANCE/I","2","0.56"
539,"2","FROZEN","1","1.99"
539,"2","FRUIT & VEGETABLES","1","0.28"
539,"2","GROCERY 1","4","4.72"
539,"2","MEAT & POULTRY","1","2.49"
539,"2","NEWSPAPERS & MAGAZI","1","0.35"
539,"2","PROVISIONS DAIRY","4","5.29"
539,"2","PROVISIONS PREPARED","1","2.19"
555,"1","BAKERY","3","2.00"
555,"1","BEVERAGES","2","18.70"
555,"1","FRUIT & VEGETABLES","2","2.36"
555,"1","GROCERY 2","1","1.69"
555,"1","GROCERY 3","4","2.04"
555,"1","NEWSPAPERS & MAGAZI","3","2.55"
555,"1","PROVISIONS DAIRY","2","2.27"
563,"1","BAKERY","2","1.58"
563,"1","PROVISIONS PREPARED","2","2.19"
564,"1","BAKERY","8","8.10"
564,"1","FROZEN","3","3.29"
564,"1","FRUIT & VEGETABLES","5","7.45"
564,"1","GROCERY 1","14","15.84"
564,"1","GROCERY 2","26","19.86"
564,"1","GROCERY 3","13","19.07"
564,"1","NEWSPAPERS & MAGAZI","1","1.65"
564,"1","PROVISIONS DAIRY","9","9.97"
564,"1","PROVISIONS PREPARED","3","3.04"
564,"1","SOFT BEVERAGES","2","2.83"
566,"1","CIGARETTES & TOBACC","5","14.58"
566,"1","CUISINE DE FRANCE/I","2","1.78"
566,"1","FROZEN","6","7.38"
566,"1","FRUIT & VEGETABLES","3","3.07"
566,"1","GROCERY 2","4","2.49"
566,"1","GROCERY 3","1","1.23"
566,"1","MEAT & POULTRY","2","2.50"
566,"1","SOFT BEVERAGES","11","13.16"
573,"0","FRUIT & VEGETABLES","2","1.41"
573,"0","MEAT & POULTRY","2","4.00"
573,"0","PROVISIONS DAIRY","1","0.37"
573,"0","PROVISIONS PREPARED","1","1.24"
582,"1","BAKERY","3","2.81"
582,"1","BEVERAGES","18","45.81"
582,"1","CIGARETTES & TOBACC","3","21.06"
582,"1","CUISINE DE FRANCE/I","1","1.59"
582,"1","DELICATESSEN","2","2.28"
582,"1","FROZEN","2","3.42"
582,"1","FRUIT & VEGETABLES","27","20.59"
582,"1","GROCERY 1","13","9.83"
582,"1","GROCERY 2","9","14.51"
582,"1","GROCERY 3","5","5.87"
582,"1","MEAT & POULTRY","12","21.51"
582,"1","NEWSPAPERS & MAGAZI","1","0.45"
582,"1","PROVISIONS DAIRY","4","5.30"
585,"1","BEVERAGES","2","17.00"
587,"1","BEVERAGES","1","8.50"
587,"1","DELICATESSEN","2","1.59"
587,"1","FRUIT & VEGETABLES","4","2.66"
587,"1","GROCERY 2","5","2.93"
587,"1","MEAT & POULTRY","4","9.98"
587,"1","PROVISIONS DAIRY","1","0.99"
588,"1","BAKERY","1","0.99"
588,"1","CIGARETTES & TOBACC","1","18.85"
600,"2","CUISINE DE FRANCE/I","1","0.99"
600,"2","GROCERY 1","5","3.12"
600,"2","GROCERY 2","4","4.94"
600,"2","PROVISIONS DAIRY","1","1.08"
605,"1","GROCERY 3","2","2.56"
605,"1","PROVISIONS DAIRY","1","0.59"
605,"1","SOFT BEVERAGES","2","4.24"
613,"1","BAKERY","1","1.03"
613,"1","CIGARETTES & TOBACC","1","2.18"
613,"1","CUISINE DE FRANCE/I","2","1.74"
613,"1","FRUIT & VEGETABLES","1","0.90"
613,"1","GROCERY 3","1","0.60"
613,"1","NATIONAL LOTTERY","1","1.00"
613,"1","PROVISIONS DAIRY","1","0.68"
613,"1","SOFT BEVERAGES","1","0.38"
615,"1","FRUIT & VEGETABLES","4","3.56"
615,"1","GROCERY 2","3","2.55"
615,"1","PROVISIONS DAIRY","2","1.89"
618,"0","CIGARETTES & TOBACC","2","14.34"
634,"2","BAKERY","8","9.76"
634,"2","FROZEN","2","4.38"
634,"2","FRUIT & VEGETABLES","7","8.04"
634,"2","GROCERY 1","17","28.17"
634,"2","GROCERY 2","2","3.68"
